,STOCKS,CLOSE,RSI,MA50,BOLLINGER_HIGH,BOLLINGER_LOW,RSI_BUY_LEVEL,RSI_SELL_LEVEL,RSI_BUY_LIKELIHOOD,BOLLINGER_BUY_LIKELIHOOD
0,AARTIIND.NS,488.6000061035156,28.759718312346962,573.5609997558594,590.1761832653009,475.70882650032405,33.2176,65.63722448979591,0.13420240136713776,-0.027098886724530414
1,ABB.NS,7521.64990234375,35.823435982686206,7971.13197265625,8988.652234970248,7483.837608779753,42.17504,70.11955172413792,0.15060101940184992,-0.005052527264840271
2,ABBOTINDIA.NS,28509.099609375,46.62578733188224,28954.0999609375,29460.7398151849,27981.815262940097,38.01515789473684,66.2732,-0.2265051604149075,-0.018843822013693758
3,ABFRL.NS,300.29998779296875,34.270376928525195,327.3889990234375,363.9317564637393,302.3182496397763,36.18707692307692,64.672,0.05296642220166243,0.006675951085362473
4,ACC.NS,2237.800048828125,33.9177095314175,2380.374990234375,2517.791979479627,2170.383044934435,36.42918518518519,64.17093333333334,0.06894130738858914,-0.031062260669165235
5,ADANIENSOL.NS,919.3499755859375,35.91896853474772,1016.4709973144531,1059.1697538571198,932.7702424807707,39.67573333333333,59.76436363636364,0.09468671358947234,0.014387537556023422
6,ADANIENT.NS,2693.449951171875,23.788162653534215,3033.8069970703127,3313.2496229565363,2761.8353623950266,40.320711864406775,73.377,0.41002622340769523,0.024760857274218055
7,ADANIGREEN.NS,1644.0,28.92723428175671,1856.9669995117188,1930.2658934267165,1619.20408948344,37.09649180327868,67.3114193548387,0.22021644431616982,-0.015313641237449249
8,ADANIPORTS.NS,1318.699951171875,32.65777594729012,1438.8619995117188,1475.767325135845,1324.7576504500926,39.33385074626866,68.10377777777778,0.16972848252371667,0.004572684880256731
9,ADANIPOWER.NS,592.2999877929688,34.759047916078345,646.3829968261718,670.2820185134493,582.7129766037382,38.478782608695646,67.98257142857142,0.09666976033115703,-0.01645237290768284
10,ADVENZYMES.NS,436.5,36.520178002237614,481.7299993896484,528.0977409217801,430.8072578575168,37.35532,63.20421276595744,0.022356708435702997,-0.01321412775354403
11,AETHER.NS,789.1500244140625,24.088050720120478,925.8009973144531,1019.1165872891589,792.3633992831068,35.1360625,61.31087096774193,0.31443511292363857,0.004055430717713107
12,AFFLE.NS,1464.550048828125,35.40532706431631,1581.332001953125,1657.8532387458288,1452.1817832268273,36.42207843137255,67.21754285714286,0.02791579752846964,-0.008517022967892316
13,AIAENG.NS,3897.699951171875,29.548021224921925,4275.901015625,4398.853536067233,3879.7464639327673,40.02685365853659,64.74483720930233,0.2617950569637098,-0.004627489813060852
14,AJANTPHARM.NS,2969.300048828125,36.110263049151875,3196.5770068359375,3519.235294982119,2937.869709900694,40.7386301369863,65.56173913043479,0.11361125968819374,-0.010698343368158888
15,ALKEM.NS,5942.5498046875,42.93243205572056,6096.170986328125,6350.81834142007,5906.11661951743,37.78043333333333,69.08433333333333,-0.13636685098160778,-0.006168720923943889
16,ALLCARGO.NS,54.9900016784668,24.796067304995645,65.09980003356934,66.49351619266504,55.59448467708594,36.98612903225806,63.28047619047619,0.3295846861030159,0.010873074948535075
17,AMBIKCO.NS,1527.449951171875,28.387471128109567,1687.243994140625,1718.030778787802,1518.5391919153228,37.062285714285714,63.824000000000005,0.2340604314868909,-0.005867981086028543
18,AMBUJACEM.NS,552.7000122070312,27.547203543022718,610.8450012207031,641.3067108366085,540.0582977083134,37.98611764705882,65.71866666666665,0.2748086603908142,-0.023408055301366172
19,AMIORG.NS,1508.75,41.89876658996693,1519.115009765625,1773.0970728520726,1487.307944237771,37.91885714285714,62.975034482758616,-0.10495858121766981,-0.014416688786811996
20,APCOTEXIND.NS,392.54998779296875,26.77138452871725,431.1840008544922,436.6069860720444,401.30801331760404,37.45837837837838,61.9577358490566,0.28530316346608975,0.02182369958733914
21,APLAPOLLO.NS,1473.699951171875,41.26348262659056,1482.6380029296874,1631.6554540017312,1477.154555763894,40.90258974358974,65.9989,-0.008823228193206875,0.0023386886487531326
22,APLLTD.NS,1067.9000244140625,36.068887967111245,1149.4419897460937,1282.7761289581374,1056.9588441863937,32.80626923076923,62.99731249999999,-0.09945107483547626,-0.01035156693928886
23,APOLLOHOSP.NS,6944.85009765625,47.97495255491924,6950.93697265625,7236.943972321805,6750.175949553196,39.8516,67.4963448275862,-0.20384006049742656,-0.02883986277660507
24,APOLLOTYRE.NS,480.04998779296875,34.23000034392318,511.7139971923828,548.470786967213,474.4591996050526,39.33505882352941,67.43986440677968,0.12978392895023433,-0.011783496225955769
25,ARE&M.NS,1241.800048828125,30.318923754288974,1416.0799975585937,1462.157629618934,1245.1623654982534,37.6026,72.19657142857143,0.1937013995231986,0.002700303802374366
26,ARVSMART.NS,777.0,43.731207559600506,773.6530017089843,886.9554239985639,762.2395772221391,41.406,67.47608888888888,-0.056156295213266365,-0.01936454524134378
27,ASHOKLEY.NS,214.0,33.78146546521042,239.25600036621094,239.22136195964143,209.5186389558859,39.033577464788735,65.77440000000001,0.13455369301766212,-0.021388841901830245
28,ASIANPAINT.NS,2958.0,32.64863312134369,3168.16701171875,3290.031854519675,2877.6231991912628,35.462315789473685,69.05711627906975,0.07934289133382487,-0.027931662780355197
29,ASKAUTOLTD.NS,406.5,44.03695112161668,434.89400085449216,442.2387143731515,383.2012850164969,37.548,67.24666666666667,-0.17281749018900286,-0.06080020055908757
30,ASTRAL.NS,1799.300048828125,28.793211335026655,1915.0859985351562,2006.1117137289575,1766.868278946824,36.656,68.8847462686567,0.21450209147133742,-0.01835551085937921
