,STOCKS,CLOSE,RSI,MA50,BOLLINGER_HIGH,BOLLINGER_LOW,RSI_BUY_LEVEL,RSI_SELL_LEVEL,RSI_BUY_LIKELIHOOD,BOLLINGER_BUY_LIKELIHOOD
0,AARTIIND.NS,488.6000061035156,32.27249268413297,640.3279998779296,784.976981031675,478.9230220200827,33.44470588235294,69.24000000000001,0.03504929008326212,-0.020205719162582066
1,ABB.NS,7521.64990234375,48.916722002086914,6673.77603515625,8942.704761318204,7185.630346103671,52.903999999999996,75.836,0.07536817627992369,-0.04676271114089267
2,ABBOTINDIA.NS,28509.099609375,52.759942960642555,26933.6950390625,30197.738231463518,26546.12680759898,44.818,67.2525,-0.17720431435232623,-0.07394573287482785
3,ABFRL.NS,300.29998779296875,47.55854942189956,273.8210003662109,347.8112814813616,300.99871912899,37.554,66.7517,-0.266404362302273,0.002321376443206077
4,ACC.NS,2237.800048828125,39.102926173112685,2428.1279833984377,2750.442632392392,2187.6773138966705,41.1988,64.63257142857142,0.05087220566830377,-0.02291139310768659
5,ADANIENSOL.NS,919.3499755859375,41.518532395594185,1032.2330041503906,1161.5686013648797,890.4264120628545,44.6125,63.25000000000002,0.0693520337216209,-0.03248282298373836
6,ADANIENT.NS,2693.449951171875,35.05006726928785,3039.11,3311.004457645743,2839.6555277058196,43.8144,77.136,0.20003315646710096,0.05148708183350157
7,ADANIGREEN.NS,1644.0,41.86268233691058,1744.8720043945314,1977.1957764495035,1646.3192259919026,39.504,70.72266666666667,-0.05970743056173003,0.0014087340749515246
8,ADANIPORTS.NS,1318.699951171875,39.97528448424938,1315.77798828125,1578.523226632605,1353.2867465119264,45.85111111111111,72.6825,0.12815014695331647,0.025557625114705544
9,ADANIPOWER.NS,592.2999877929688,39.41214902237557,609.2970001220704,762.3280200566563,590.4419872675625,46.36,75.88083333333333,0.14986736362434053,-0.003146796070524568
10,ADVENZYMES.NS,436.5,50.19445171954392,398.10400146484375,540.6472644121891,340.327735587811,39.20285714285714,64.28714285714285,-0.2803773851643738,-0.28258720743427257
11,AETHER.NS,789.1500244140625,36.693874997243576,870.4440002441406,993.4855474030226,820.7594599211961,39.6776,60.28309090909091,0.07519923086972051,0.0385124230065756
12,AFFLE.NS,1464.550048828125,52.01018284597004,1287.679998779297,1735.7743105617085,1253.2206723484476,39.54075,66.35400000000001,-0.31535650805738485,-0.16862902212078978
13,AIAENG.NS,3897.699951171875,41.17551891899851,3975.377998046875,4647.072857428764,3924.9821230399866,45.644,66.72133333333333,0.09789854265624147,0.0069509034723910955
14,AJANTPHARM.NS,2969.300048828125,55.65613913362343,2441.326022949219,3729.027328392889,2002.7977692633613,42.6808,72.864,-0.3040088080266403,-0.48257607153229853
15,ALKEM.NS,5942.5498046875,58.20960646173894,5274.684013671875,6666.186438231773,4735.353600830727,42.73876923076923,73.039,-0.3619860260232221,-0.2549326419140047
16,ALLCARGO.NS,54.9900016784668,34.51738369699832,70.24350013732911,71.25756935119664,56.35243011474575,39.01422222222222,71.65599999999998,0.11526151923804169,0.024176924287111566
17,AMBIKCO.NS,1527.449951171875,41.561888294618086,1662.2399975585938,1970.3504647166264,1452.259520634936,40.05230769230769,69.58777777777777,-0.03769022783674255,-0.05177478919474755
18,AMBUJACEM.NS,552.7000122070312,35.794496127362294,595.2590002441407,710.2141823692408,563.1458212928686,42.70057142857143,71.95700000000001,0.16173262020067963,0.018549030625595177
19,AMIORG.NS,1508.75,56.95341921050224,1260.7650024414063,1724.2406102694288,1139.9544092618214,41.01538461538462,62.72777777777777,-0.3885867399409772,-0.3235178422415968
20,APCOTEXIND.NS,392.54998779296875,36.8880178024256,456.18200134277345,471.1332695480676,403.1317328933387,40.94085714285714,70.3385,0.09899253760832971,0.02624885176967626
21,APLAPOLLO.NS,1473.699951171875,46.86640488514956,1535.2289990234376,1643.623757957382,1366.4012420426182,46.05675,72.7324,-0.017579505396050646,-0.07852650146076945
22,APLLTD.NS,1067.9000244140625,49.62182252862695,985.0219946289062,1317.9462542200147,861.8437177038132,30.918222222222223,66.488,-0.6049377668604007,-0.23908778642517634
23,APOLLOHOSP.NS,6944.85009765625,60.20831408808424,6288.356982421875,7338.443472412695,6060.826498290429,47.49515789473684,72.97699999999999,-0.2676726798450374,-0.14585858869498677
24,APOLLOTYRE.NS,480.04998779296875,45.111183861839976,493.1849981689453,554.769551443626,470.70044367356144,46.577999999999996,69.312,0.03149160844518915,-0.019863045053535953
25,ARE&M.NS,1241.800048828125,43.76963477435861,1131.780001220703,1732.2361513919852,1232.0688656978584,52.92,79.26,0.1729093957982123,-0.007898246113665663
26,ARVSMART.NS,777.0,55.843980398133006,638.4420007324219,850.9048847197731,643.1301128388205,47.8465,71.77106666666667,-0.1671487025829059,-0.20815366049378184
27,ASHOKLEY.NS,214.0,42.72730557158271,204.6082000732422,264.5808293926683,213.3151697528395,46.308,68.26400000000001,0.07732345228507577,-0.003210415124034512
28,ASIANPAINT.NS,2958.0,43.88183202402488,3031.76998046875,3350.698854045543,2783.996116657582,39.746,63.468399999999995,-0.10405655975506664,-0.0625014820607307
29,ASKAUTOLTD.NS,406.5,54.0907737145214,342.5370001220703,478.20511714394434,342.24487980429785,46.455999999999996,72.193,-0.16434419051406496,-0.18774603796101916
30,ASTRAL.NS,1799.300048828125,36.839938414275245,2019.6610009765625,2444.6567596582577,1681.88823545893,41.9882,68.2196,0.12261210496579406,-0.06980952175883275
